Resource,Move Resource Group,Move Subscription
Microsoft.SignalRService/signalr,1,1
Microsoft.SoftwarePlan/hybridusebenefits,0,0
Microsoft.Solutions/applicationdefinitions,0,0
Microsoft.Solutions/applications,0,0
Microsoft.Solutions/jitrequests,0,0
Microsoft.Sql/instancepools,0,0
Microsoft.Sql/locations,1,1
Microsoft.Sql/managedinstances,0,0
Microsoft.Sql/servers,1,1
Microsoft.Sql/servers/databases,1,1
Microsoft.Sql/servers/databases/backuplongtermretentionpolicies,1,1
Microsoft.Sql/servers/elasticpools,1,1
Microsoft.Sql/servers/jobaccounts,1,1
Microsoft.Sql/servers/jobagents,1,1
Microsoft.Sql/virtualclusters,1,1
Microsoft.SqlVirtualMachine/sqlvirtualmachinegroups,1,1
Microsoft.SqlVirtualMachine/sqlvirtualmachines,1,1
Microsoft.Storage/storageaccounts,1,1
Microsoft.StorageCache/caches,0,0
Microsoft.StorageSync/storagesyncservices,1,1
Microsoft.StorageSyncDev/storagesyncservices,0,0
Microsoft.StorageSyncInt/storagesyncservices,0,0
Microsoft.StorSimple/managers,0,0
Microsoft.StreamAnalytics/clusters,0,0
Microsoft.StreamAnalytics/streamingjobs,1,1
Microsoft.StreamAnalyticsExplorer/environments,0,0
Microsoft.StreamAnalyticsExplorer/instances,0,0
Microsoft.Subscription/subscriptions,0,0
microsoft.support/services,0,0
microsoft.support/supporttickets,0,0
Microsoft.Synapse/workspaces,1,1
Microsoft.Synapse/workspaces/bigdatapools,1,1
Microsoft.Synapse/workspaces/sqlpools,1,1
Microsoft.TimeSeriesInsights/environments,1,1
Microsoft.TimeSeriesInsights/environments/eventsources,1,1
Microsoft.TimeSeriesInsights/environments/referencedatasets,1,1
Microsoft.Token/stores,1,1
Microsoft.VirtualMachineImages/imagetemplates,0,0
microsoft.visualstudio/account,0,0
microsoft.visualstudio/account/extension,0,0
microsoft.visualstudio/account/project,0,0
Microsoft.VMware/arczones,0,0
Microsoft.VMware/resourcepools,0,0
Microsoft.VMware/vcenters,0,0
Microsoft.VMware/virtualmachines,0,0
Microsoft.VMware/virtualmachinetemplates,0,0
Microsoft.VMware/virtualnetworks,0,0
Microsoft.VMwareCloudSimple/dedicatedcloudnodes,0,0
Microsoft.VMwareCloudSimple/dedicatedcloudservices,0,0
Microsoft.VMwareCloudSimple/virtualmachines,0,0
Microsoft.VnfManager/devices,0,0
Microsoft.VnfManager/vnfs,0,0
Microsoft.VSOnline/accounts,0,0
Microsoft.VSOnline/plans,0,0
Microsoft.VSOnline/registeredsubscriptions,0,0
Microsoft.Web/availablestacks,0,0
Microsoft.Web/billingmeters,0,0
Microsoft.Web/certificates,0,1
Microsoft.Web/connectiongateways,1,1
Microsoft.Web/connections,1,1
Microsoft.Web/customapis,1,1
Microsoft.Web/deletedsites,0,0
Microsoft.Web/deploymentlocations,0,0
Microsoft.Web/georegions,0,0
Microsoft.Web/hostingenvironments,0,0
Microsoft.Web/kubeenvironments,1,1
Microsoft.Web/publishingusers,0,0
Microsoft.Web/recommendations,0,0
Microsoft.Web/resourcehealthmetadata,0,0
Microsoft.Web/runtimes,0,0
Microsoft.Web/serverfarms,1,1
Microsoft.Web/serverfarms/eventgridfilters,0,0
Microsoft.Web/sites,1,1
Microsoft.Web/sites/premieraddons,1,1
Microsoft.Web/sites/slots,1,1
Microsoft.Web/sourcecontrols,0,0
Microsoft.Web/staticsites,0,0
Microsoft.WindowsESU/multipleactivationkeys,0,0
Microsoft.WindowsIoT/deviceservices,0,0
Microsoft.WorkloadBuilder/workloads,0,0
Microsoft.WorkloadMonitor/components,0,0
Microsoft.WorkloadMonitor/componentssummary,0,0
Microsoft.WorkloadMonitor/monitorinstances,0,0
Microsoft.WorkloadMonitor/monitorinstancessummary,0,0
Microsoft.WorkloadMonitor/monitors,0,0
